Tone,Undertone,Finish,Occasion,Season,Brand,Shade
fair,cool,matte,daily,summer,AURA,110 Cool Ivory
fair,cool,dewy,party,winter,AURA,110 Cool Ivory
fair,cool,natural,wedding,spring-fall,MAC,110 Cool Ivory
fair,warm,matte,daily,summer,AURA,120 Alabaster
fair,warm,dewy,party,winter,L'Oreal,120 Alabaster
fair,warm,natural,wedding,spring-fall,Maybelline,120 Alabaster
fair,neutral,matte,daily,summer,Sephora,120 Alabaster
fair,neutral,dewy,party,winter,AURA,110 Cool Ivory
medium,cool,matte,daily,summer,L'Oreal,210 Almond
medium,cool,dewy,party,winter,Maybelline,210 Almond
medium,cool,natural,wedding,spring-fall,MAC,210 Almond
medium,warm,matte,daily,summer,AURA,220 Golden Honey
medium,warm,dewy,party,winter,AURA,220 Golden Honey
medium,warm,natural,wedding,spring-fall,Clinique,220 Golden Honey
medium,neutral,matte,daily,summer,Sephora,215 Soft Sand
medium,neutral,dewy,party,winter,MAC,215 Soft Sand
medium,neutral,natural,wedding,spring-fall,AURA,215 Soft Sand
tan,cool,matte,daily,summer,MAC,310 Toffee
tan,cool,dewy,party,winter,Sephora,310 Toffee
tan,cool,natural,wedding,spring-fall,L'Oreal,310 Toffee
tan,warm,matte,daily,summer,AURA,330 Amber Gold
tan,warm,dewy,party,winter,AURA,330 Amber Gold
tan,warm,natural,wedding,spring-fall,Clinique,330 Amber Gold
tan,neutral,matte,daily,summer,Maybelline,320 Caramel Satin
tan,neutral,dewy,party,winter,Sephora,320 Caramel Satin
tan,neutral,natural,wedding,spring-fall,AURA,320 Caramel Satin
deep,cool,matte,daily,summer,MAC,410 Espresso
deep,cool,dewy,party,winter,MAC,410 Espresso
deep,cool,natural,wedding,spring-fall,Sephora,410 Espresso
deep,warm,matte,daily,summer,AURA,430 Dark Chestnut
deep,warm,dewy,party,winter,AURA,430 Dark Chestnut
deep,warm,natural,wedding,spring-fall,L'Oreal,430 Dark Chestnut
deep,neutral,matte,daily,summer,MAC,420 Rich Mocha
deep,neutral,dewy,party,winter,Sephora,420 Rich Mocha
deep,neutral,natural,wedding,spring-fall,AURA,420 Rich Mocha
